,DATE & TIME,ARRIVAL / DEPARTURE,VESSEL,VESSEL TYPE,FROM,TO,IN PORT,imo_number,location_1,Arrival_1,location_2,Arrival_2,location_3,Arrival_3,location_4,Arrival_4,location_5,Arrival_5
0,Wed 20 Mar 20:00,ARRIVAL,KOTA LIMA,CONTAINER SHIP (FULLY CELLULAR),CHIWAN PT,12 BROTHERSON DOCK (BD12),NO,9267651,"Botany Bay, Australia","Mar 20, 09:48","Shenzhen, China","Mar 6, 21:03","Nansha, China","Mar 5, 21:15","Shanghai, China","Mar 2, 18:57","Qingdao, China","Feb 29, 10:28"
1,Wed 20 Mar 22:00,ARRIVAL,MSC KANU F,CONTAINER SHIP (FULLY CELLULAR),BELL BAY,9 BROTHERSON DOCK (BD9),NO,9236585,"Botany Bay, Australia","Mar 20, 12:10","Bell Bay, Australia","Mar 17, 18:43","Botany Bay, Australia","Feb 28, 02:00","Lautoka, Fiji","Feb 20, 13:40","Lautoka Anch., Fiji","Feb 16, 00:15"
2,Thu 21 Mar 03:00,ARRIVAL,WIDE INDIA,CONTAINER SHIP (FULLY CELLULAR),AUCKLAND,7 BROTHERSON DOCK (BD7),NO,,"Botany Bay, Australia","Mar 21, 07:16","Auckland, New Zealand","Mar 14, 13:57","Oakland, United States (USA)","Feb 27, 23:31","Los Angeles, United States (USA)","Feb 17, 09:51","Long Beach Anch., United States (USA)","Feb 15, 12:25"
3,Thu 21 Mar 15:00,ARRIVAL,GASCHEM HOMER,LPG TANKER,BRISBANE,BULK LIQUID BERTH 1 (BLB1),NO,,"Brisbane, Australia","Mar 18, 17:44","Brisbane Anch., Australia","Mar 17, 01:40","Hastings, Australia","Mar 12, 19:48","Devonport, Australia","Mar 6, 20:20","Devonport Anch., Australia","Mar 2, 01:15"
4,Thu 21 Mar 17:00,ARRIVAL,MARI COUVA,CHEMICAL/PRODUCTS TANKER,ONSAN/ULSAN,BULK LIQUID BERTH 1 (BLB1),NO,9848584,"Botany Bay, Australia","Mar 21, 14:18","Onsan, Korea","Mar 4, 05:42","Onsan, Korea","Feb 27, 22:14","Ulsan Anch., Korea","Feb 24, 14:42","Ulsan Anch., Korea","Feb 17, 06:20"
5,Thu 21 Mar 20:30,ARRIVAL,CARL SCHULTE,CONTAINER SHIP (FULLY CELLULAR),MELBOURNE,HAYES DOCK 2 (HD2),NO,,"Botany Bay, Australia","Mar 21, 10:51","Melbourne, Australia","Mar 17, 02:08","Singapore Anch. 4, Singapore","Mar 6, 18:05","Singapore, Singapore","Mar 6, 02:11","Singapore Anch. 4, Singapore","Mar 4, 23:35"
6,Fri 22 Mar 02:15,ARRIVAL,MANDALAY,CONTAINER SHIP (FULLY CELLULAR),BRISBANE,HAYES DOCK 1 (HD1),NO,9743502,"Botany Bay, Australia","Mar 21, 18:36","Brisbane, Australia","Mar 18, 16:28","Noumea, New Caledonia","Mar 13, 18:28","Papeete, French Polynesia","Mar 6, 16:29","Panama Canal Anch. Atlantic, Panama","Feb 23, 12:47"
7,Fri 22 Mar 04:15,ARRIVAL,NORDMAAS,CONTAINER SHIP (FULLY CELLULAR),PORT CHALMERS,8 BROTHERSON DOCK (BD8),NO,9822736,"Nelson, New Zealand","Mar 8, 20:12","Auckland, New Zealand","Mar 4, 18:59","Botany Bay, Australia","Feb 24, 11:31","Tauranga, New Zealand","Feb 16, 07:14","Napier, New Zealand","Feb 14, 23:43"
8,Fri 22 Mar 13:00,ARRIVAL,STI STEADFAST,CRUDE/OIL PRODUCTS TANKER,ULSAN,KURNELL 1 (KUR1),NO,9719719,"Ulsan, Korea","Mar 3, 22:07","Gwangyang, Korea","Feb 25, 07:20","Anegasaki, Japan","Feb 20, 05:07","Anegasaki, Japan","Feb 17, 05:09","Anegasaki Cosmo Sea Berth, Japan","Feb 14, 01:37"
9,Fri 22 Mar 15:30,ARRIVAL,CMA CGM TANCREDI,CONTAINER SHIP (FULLY CELLULAR),MELBOURNE,6 BROTHERSON DOCK (BD6),NO,9436355,"Melbourne, Australia","Mar 14, 14:00","Singapore, Singapore","Mar 2, 12:30","Tanjung Pelepas, Malaysia","Mar 1, 15:03","Rotterdam Maasvlakte, Netherlands","Feb 29, 06:21","Fremantle, Australia","Feb 20, 17:24"
