DATE & TIME	ARRIVAL / DEPARTURE	VESSEL	VESSEL TYPE	FROM	TO	IN PORT
Wed 20 Mar 20:00	ARRIVAL	KOTA LIMA	CONTAINER SHIP (FULLY CELLULAR)	CHIWAN PT	12 BROTHERSON DOCK (BD12)	NO
Wed 20 Mar 22:00	ARRIVAL	MSC KANU F	CONTAINER SHIP (FULLY CELLULAR)	BELL BAY	9 BROTHERSON DOCK (BD9)	NO
Thu 21 Mar 03:00	ARRIVAL	WIDE INDIA	CONTAINER SHIP (FULLY CELLULAR)	AUCKLAND	7 BROTHERSON DOCK (BD7)	NO
Thu 21 Mar 15:00	ARRIVAL	GASCHEM HOMER	LPG TANKER	BRISBANE	BULK LIQUID BERTH 1 (BLB1)	NO
Thu 21 Mar 17:00	ARRIVAL	MARI COUVA	CHEMICAL/PRODUCTS TANKER	ONSAN/ULSAN	BULK LIQUID BERTH 1 (BLB1)	NO
Thu 21 Mar 20:30	ARRIVAL	CARL SCHULTE	CONTAINER SHIP (FULLY CELLULAR)	MELBOURNE	HAYES DOCK 2 (HD2)	NO
Fri 22 Mar 02:15	ARRIVAL	MANDALAY	CONTAINER SHIP (FULLY CELLULAR)	BRISBANE	HAYES DOCK 1 (HD1)	NO
Fri 22 Mar 04:15	ARRIVAL	NORDMAAS	CONTAINER SHIP (FULLY CELLULAR)	PORT CHALMERS	8 BROTHERSON DOCK (BD8)	NO
Fri 22 Mar 13:00	ARRIVAL	STI STEADFAST	CRUDE/OIL PRODUCTS TANKER	ULSAN	KURNELL 1 (KUR1)	NO
Fri 22 Mar 15:30	ARRIVAL	CMA CGM TANCREDI	CONTAINER SHIP (FULLY CELLULAR)	MELBOURNE	6 BROTHERSON DOCK (BD6)	NO
Fri 22 Mar 20:00	ARRIVAL	OOCL HOUSTON	CONTAINER SHIP (FULLY CELLULAR)	MELBOURNE	7 BROTHERSON DOCK (BD7)	NO
Fri 22 Mar 20:00	ARRIVAL	OOCL TEXAS	CONTAINER SHIP (FULLY CELLULAR)	BRISBANE	HAYES DOCK 1 (HD1)	NO
Fri 22 Mar 22:00	ARRIVAL	TIAN E ZUO	PRODUCTS TANKER	YEOSU	BULK LIQUID BERTH 2 (BLB2)	NO
Sat 23 Mar 04:00	ARRIVAL	ANL GIPPSLAND	CONTAINER SHIP (FULLY CELLULAR)	NINGBO	10 BROTHERSON DOCK (BD10)	NO
Sat 23 Mar 04:00	ARRIVAL	MAERSK SEBAROK	CONTAINER SHIP (FULLY CELLULAR)	YANTIAN PT	6 BROTHERSON DOCK (BD6)	NO
Sat 23 Mar 08:00	ARRIVAL	EVER USEFUL	CONTAINER SHIP (FULLY CELLULAR)	KAOHSIUNG	12 BROTHERSON DOCK (BD12)	NO
Sat 23 Mar 18:00	ARRIVAL	MAERSK RIO INDIA	CONTAINER SHIP (FULLY CELLULAR)	SINGAPORE	12 BROTHERSON DOCK (BD12)	NO
Sun 24 Mar 06:00	ARRIVAL	OOCL KUALA LUMPUR	CONTAINER SHIP (FULLY CELLULAR)	SHEKOU PT	HAYES DOCK 2 (HD2)	NO
Sun 24 Mar 20:00	ARRIVAL	MAERSK SEMAKAU	CONTAINER SHIP (FULLY CELLULAR)	MELBOURNE	6 BROTHERSON DOCK (BD6)	NO
Mon 25 Mar 05:00	ARRIVAL	CMA CGM SEATTLE	CONTAINER SHIP (FULLY CELLULAR)	AUCKLAND	HAYES DOCK 3 (HD3)	NO
Mon 25 Mar 10:00	ARRIVAL	MSC NILA II	CONTAINER SHIP (FULLY CELLULAR)	NOUMEA	9 BROTHERSON DOCK (BD9)	NO
Mon 25 Mar 20:00	ARRIVAL	TS MELBOURNE	CONTAINER SHIP (FULLY CELLULAR)	MELBOURNE	10 BROTHERSON DOCK (BD10)	NO
Mon 25 Mar 20:00	ARRIVAL	WIDE HOTEL	CONTAINER SHIP (FULLY CELLULAR)	YANTIAN PT	7 BROTHERSON DOCK (BD7)	NO
Tue 26 Mar 04:00	ARRIVAL	CAPITAINE BARET	CONTAINER SHIP (FULLY CELLULAR)	TAURANGA	12 BROTHERSON DOCK (BD12)	NO
Tue 26 Mar 06:00	ARRIVAL	MELANESIAN CHIEF	CONTAINER SHIP (FULLY CELLULAR)	PORT VILA	9 BROTHERSON DOCK (BD9)	NO
Tue 26 Mar 06:00	ARRIVAL	TS SHEKOU	CONTAINER SHIP (FULLY CELLULAR)	MELBOURNE	7 BROTHERSON DOCK (BD7)	NO
Tue 26 Mar 20:00	ARRIVAL	MAERSK BALI	CONTAINER SHIP (FULLY CELLULAR)	TAURANGA	11 BROTHERSON DOCK (BD11)	NO
Tue 26 Mar 20:30	ARRIVAL	KOTA LAMBAI	CONTAINER SHIP (FULLY CELLULAR)	FREMANTLE	7 BROTHERSON DOCK (BD7)	NO
Wed 27 Mar 06:00	ARRIVAL	PUSAN C	CONTAINER SHIP (FULLY CELLULAR)	PORT LOUIS	6 BROTHERSON DOCK (BD6)	NO
Wed 27 Mar 12:00	ARRIVAL	KETA	CONTAINER SHIP (FULLY CELLULAR)	TAURANGA	12 BROTHERSON DOCK (BD12)	NO
Wed 27 Mar 18:00	ARRIVAL	CAPTAIN THANASIS I	CONTAINER SHIP (FULLY CELLULAR)	BRISBANE	9 BROTHERSON DOCK (BD9)	NO
Wed 27 Mar 18:00	ARRIVAL	LEO ASPHALT II	ASPHALT/BITUMEN TANKER	SINGAPORE	BULK LIQUID BERTH 1 (BLB1)	NO
Thu 28 Mar 01:00	ARRIVAL	STI SOLIDARITY	CRUDE/OIL PRODUCTS TANKER	ANTWERPEN	BULK LIQUID BERTH 2 (BLB2)	NO
Thu 28 Mar 04:00	ARRIVAL	SEATRADE ORANGE	CONTAINER SHIP (FULLY CELLULAR)	BRISBANE	12 BROTHERSON DOCK (BD12)	NO
Thu 28 Mar 05:00	ARRIVAL	NORTHERN DEXTERITY	CONTAINER SHIP (FULLY CELLULAR)	SINGAPORE	7 BROTHERSON DOCK (BD7)	NO
Thu 28 Mar 05:00	ARRIVAL	OOCL PANAMA	CONTAINER SHIP (FULLY CELLULAR)	BRISBANE	HAYES DOCK 2 (HD2)	NO
Thu 28 Mar 12:00	ARRIVAL	IKARIA	CONTAINER SHIP (FULLY CELLULAR)	BRISBANE	11 BROTHERSON DOCK (BD11)	NO
Fri 29 Mar 12:00	ARRIVAL	KOTA LUMAYAN	CONTAINER SHIP (FULLY CELLULAR)	MELBOURNE	8 BROTHERSON DOCK (BD8)	NO
Fri 29 Mar 12:00	ARRIVAL	LIAN GUI HU	CRUDE/OIL PRODUCTS TANKER	ULSAN	BULK LIQUID BERTH 1 (BLB1)	NO
Fri 29 Mar 12:00	ARRIVAL	SEASPAN RIO DE JANEIRO	CONTAINER SHIP (FULLY CELLULAR)	AUCKLAND	7 BROTHERSON DOCK (BD7)	NO
Fri 29 Mar 14:00	ARRIVAL	KMARIN REASON	CRUDE OIL TANKER	DAESAN/SEOSAN	BULK LIQUID BERTH 2 (BLB2)	NO
Sat 30 Mar 12:00	ARRIVAL	RIO GRANDE	CONTAINER SHIP (FULLY CELLULAR)	SHEKOU PT	HAYES DOCK 2 (HD2)	NO
Sat 30 Mar 17:00	ARRIVAL	FRONT ALTAIR	CRUDE OIL TANKER	YEOSU	KURNELL 1 (KUR1)	NO
Sat 30 Mar 20:00	ARRIVAL	RIO BLANCO	CONTAINER SHIP (FULLY CELLULAR)	SINGAPORE	12 BROTHERSON DOCK (BD12)	NO
Sun 31 Mar 03:00	ARRIVAL	CONTSHIP TEN	CONTAINER SHIP (FULLY CELLULAR)	LAUTOKA	9 BROTHERSON DOCK (BD9)	NO
Sun 31 Mar 04:00	ARRIVAL	GSL MELITA	CONTAINER SHIP (FULLY CELLULAR)	YANTIAN PT	7 BROTHERSON DOCK (BD7)	NO
Sun 31 Mar 11:00	ARRIVAL	SEALEGEND	CRUDE/OIL PRODUCTS TANKER	BOTANY BAY	KURNELL 1 (KUR1)	NO
Sun 31 Mar 14:00	ARRIVAL	CMA CGM CHOPIN	CONTAINER SHIP (FULLY CELLULAR)	MELBOURNE	12 BROTHERSON DOCK (BD12)	NO
Sun 31 Mar 18:00	ARRIVAL	OOCL BRAZIL	CONTAINER SHIP (FULLY CELLULAR)	NINGBO LISHE INTERNATIONAL APT	12 BROTHERSON DOCK (BD12)
